also,amazon,android,another,app,apps,back,battery,best,better,bought,buy,call,came,camera,can,card,case,charge,charger,condition,could,day,days,device,easy,even,ever,everything,excellent,far,fast,features,first,galaxy,get,go,good,google,got,great,happy,iphone,issue,issues,last,life,like,little,lot,love,make,many,months,much,need,never,new,nice,nokia,note,old,one,perfect,phone,phones,price,problem,problems,product,purchase,quality,really,recommend,samsung,screen,seller,service,sim,since,still,thing,time,two,unlocked,update,use,used,using,ve,verizon,want,way,well,windows,without,work,working,works,would,Target
0,0,0,0,0,0,0,0,0,0,0,0.641100768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767456712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0.683444617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491163369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246518471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171387864,0,0,0.200945634,0,0,0.247917981,0,0,0,0,0,0,0,0,0.247573522,0,0,0,0,0.195912536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545266567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465990567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566176241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406179304,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340036553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369445967,0,0.185674448,0,0,0,0,0.480276402,0,0,0,0.522015969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458523418,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0.137591782,0,0,0,0,0,0,0,0,0,0.060435421,0.129188631,0,0,0.326755265,0,0,0,0,0,0,0,0,0.601036862,0.062779021,0,0,0.055359497,0,0,0,0,0,0,0,0,0,0,0,0.065464954,0.068337778,0,0.05917313,0,0,0.138999595,0,0,0,0.063958141,0,0,0.093475952,0.054517659,0,0,0.134523032,0,0,0,0,0,0,0,0,0.5373445,0,0,0,0,0.159456456,0,0,0,0.048253943,0,0,0.060405031,0.061234004,0,0,0.055372738,0,0,0,0,0.049755015,0.300993523,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474046266,0,0,0,0.589748962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456441581,0,0,0,0,0,0,0,0,0.46812112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0.112385794,0,0,0.1353191,0,0,0.14678582,0,0.158424742,0.294742319,0.332685483,0,0,0,0.150797202,0,0,0.164246067,0.159706628,0,0,0,0,0,0,0,0.147863327,0,0,0,0,0,0.136486971,0.096278664,0,0,0,0,0,0.139165689,0.113095078,0,0,0,0,0,0,0,0.155694973,0,0.228465872,0.151001935,0,0,0.157686637,0.22928083,0.161175424,0.230461802,0,0.139906727,0,0,0,0,0.148628296,0,0,0,0.116974298,0,0,0.305689906,0.160544908,0,0,0,0.327172149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122669309,0.123681561,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337740408,0,0,0,0,0,0,0,0,0.272614888,0,0,0,0,0,0,0,0,0,0.314262648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232764593,0,0.467927018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310334652,0.325968552,0,0,0.266071942,0,0.322993887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249066367,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656685997,0,0,0.709119808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256734491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
